,date,avg_temp,max_temp,min_temp,rain_fall
0,2009/1/1,-5.8,-2.5,-9.5,0.0
1,2009/1/2,-2.8,1.2,-6.9,0.0
2,2009/1/3,-1.0,4.0,-5.6,0.0
3,2009/1/4,0.4,4.5,-2.8,0.0
4,2009/1/5,-1.6,1.2,-3.4,0.0
5,2009/1/6,-2.0,1.4,-5.4,0.0
6,2009/1/7,-0.5,4.2,-4.2,0.0
7,2009/1/8,-0.9,2.5,-4.0,0.0
8,2009/1/9,-3.5,-0.5,-6.8,0.0
9,2009/1/10,-7.5,-4.3,-9.9,0.0
10,2009/1/11,-8.0,-4.2,-9.6,0.0
11,2009/1/12,-7.8,-3.2,-11.0,0.0
12,2009/1/13,-5.5,-1.5,-9.0,0.0
13,2009/1/14,-6.6,-3.2,-9.4,0.0
14,2009/1/15,-6.3,-2.0,-11.2,0.0
15,2009/1/16,-2.8,0.4,-4.8,3.3
16,2009/1/17,-1.4,3.1,-5.9,0.0
17,2009/1/18,2.6,6.1,0.1,0.0
18,2009/1/19,0.6,4.7,-2.7,0.0
19,2009/1/20,2.2,7.2,-2.4,0.0
20,2009/1/21,3.9,5.9,1.0,0.0
21,2009/1/22,3.6,9.3,-2.0,0.0
22,2009/1/23,-9.0,-2.0,-11.0,0.0
23,2009/1/24,-8.1,-5.1,-11.4,2.0
24,2009/1/25,-4.6,1.0,-9.3,0.4
25,2009/1/26,-3.3,-0.2,-5.3,0.0
26,2009/1/27,-1.9,3.9,-6.8,0.0
27,2009/1/28,1.5,7.8,-3.0,0.0
28,2009/1/29,3.3,8.3,-1.2,0.0
29,2009/1/30,5.8,12.2,0.7,0.0
30,2009/1/31,6.1,11.7,3.4,0.0
31,2009/2/1,5.3,10.5,1.6,0.0
32,2009/2/2,5.2,8.0,2.1,0.0
33,2009/2/3,5.7,11.1,2.9,0.0
34,2009/2/4,4.4,8.9,1.5,0.0
35,2009/2/5,4.4,6.0,3.2,0.2
36,2009/2/6,3.2,6.8,0.6,0.0
37,2009/2/7,2.8,5.0,0.4,0.0
38,2009/2/8,2.7,8.2,-2.2,0.0
39,2009/2/9,5.0,8.1,2.6,0.0
40,2009/2/10,4.5,6.5,2.0,0.0
41,2009/2/11,5.7,9.2,3.2,0.0
42,2009/2/12,6.8,10.6,1.8,0.2
43,2009/2/13,10.4,16.1,4.3,34.5
44,2009/2/14,3.6,5.3,2.1,0.0
45,2009/2/15,-1.6,2.4,-6.4,0.4
46,2009/2/16,-6.0,-2.3,-8.6,0.0
47,2009/2/17,-4.6,-0.5,-8.6,0.0
48,2009/2/18,-2.2,1.4,-6.0,0.0
49,2009/2/19,0.6,3.9,-1.8,0.4
50,2009/2/20,-2.5,-0.1,-6.8,1.0
51,2009/2/21,-2.2,2.7,-7.8,0.0
52,2009/2/22,3.0,7.0,0.1,0.0
53,2009/2/23,6.2,11.9,-0.2,0.0
54,2009/2/24,7.6,10.2,6.2,0.2
55,2009/2/25,2.8,6.4,-0.8,0.0
56,2009/2/26,2.4,7.3,-2.5,0.0
57,2009/2/27,3.9,8.6,-1.0,0.0
58,2009/2/28,5.2,10.2,0.9,0.0
59,2009/3/1,3.3,8.6,-1.6,0.0
60,2009/3/2,3.6,8.6,-2.8,0.0
61,2009/3/3,2.7,5.1,0.6,6.5
62,2009/3/4,3.7,8.9,-0.3,0.0
63,2009/3/5,5.2,7.6,3.2,9.0
